nct_id,final_screening,decision_basis,adjudication_reason,brief_title,study_type,overall_status,start_date,study_first_post_date,registry_last_update_post_date,enrollment,lead_sponsor,interventions,countries,has_results,minimum_age,maximum_age,sex,conditions,flash_triage,flash_confidence,sol_audit
NCT00833248,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Neoadjuvant Study Investigating Degarelix in Patients Suffering From Prostate Cancer,INTERVENTIONAL,COMPLETED,2009-04,2009-02-02,2012-10-04,246,Ferring Pharmaceuticals,Degarelix; Goserelin; Bicalutamide,France; Germany; Greece; Netherlands; Spain; United Kingdom; United States,True,18 Years,,MALE,Prostate Cancer,obvious_exclude,high,
NCT00866554,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Efficacy and Toxicity of Bicalutamide and Dutasteride vs. Standard Care for Prostate Cytoreduction for Brachytherapy,INTERVENTIONAL,COMPLETED,2009-03,2009-03-20,2023-06-02,60,CHU de Quebec-Universite Laval,"administration of a LHRH agonist and Bicalutamide; administration of Bicalutamide, Dutasteride and Tamoxifen",Canada,False,18 Years,,MALE,Prostate Cancer; Erectile Dysfunction; Lower Urinary Tract Symptoms,obvious_exclude,high,
NCT00884273,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Investigation of the Effect of Degarelix in Terms of Prostate Volume Reduction in Prostate Cancer Patients,INTERVENTIONAL,COMPLETED,2009-08,2009-04-20,2013-11-13,182,Ferring Pharmaceuticals,Degarelix; Goserelin; Bicalutamide,Belgium; Denmark; Finland; Italy; Norway; Portugal; Sweden; Turkey (Türkiye),True,18 Years,,MALE,Prostate Cancer,obvious_exclude,high,
NCT00887380,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,STARS Breast Trial (Study of Anastrozole and Radiotherapy Sequencing),INTERVENTIONAL,UNKNOWN,2009-09-16,2009-04-24,2022-11-18,2023,Trans Tasman Radiation Oncology Group,Pre-radiotherapy commencement of anastrozole; Radiotherapy; Post radiotherapy commencement of anastrozole,Australia; New Zealand,False,18 Years,,FEMALE,Breast Cancer,obvious_exclude,high,
NCT00962637,exclude,recorded_adjudication,"Human confirmation: the study evaluates enclomiphene and AndroGel for secondary hypogonadism in men, not a TGD population and not GAHT.",Study to Evaluate the Safety and Efficacy of Androxal™ Treatment in Men With Secondary Hypogonadism,INTERVENTIONAL,COMPLETED,2006-03,2009-08-20,2010-02-11,194,Repros Therapeutics Inc.,Androxal; Androxal; AndroGel; Placebo,United States,False,18 Years,68 Years,MALE,Secondary Hypogonadism,obvious_exclude,high,agree_obvious_exclude
NCT00985738,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Role of Dutasteride in Patients Undergoing 3D Mapping Biopsy in Early Stage Prostate Cancer,INTERVENTIONAL,TERMINATED,,,2016-05-17,16,,Dutasteride; Placebo,,False,40 Years,85 Years,MALE,Prostate Cancer,obvious_exclude,high,
NCT01065220,include,recorded_adjudication,Human confirmation: explicit TGD population; brain serotonin-transporter binding is measured before and after sex-steroid hormone therapy.,Sex Steroids and the Serotonin Transporter,INTERVENTIONAL,COMPLETED,2010-02,2010-02-09,2014-01-03,32,Medical University of Vienna,Testolactone undecanoate; Lynestrenol; Cyproterone Acetate; Estradiol; 5-alpha reductase inhibitor,Austria,False,18 Years,55 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT01072825,include,recorded_adjudication,Human confirmation: explicit TGD population; participants are prospectively followed through cross-sex hormone treatment with treatment-related outcomes measured.,A European Network for the Investigation of Gender Incongruence,OBSERVATIONAL,RECRUITING,2010-02-15,2010-02-22,2023-12-11,125,"University Hospital, Ghent",questionnaires; blood sampling; clinical evaluation; Dermatology evaluation; Bone evaluation,Belgium; Italy; Netherlands; Norway,False,18 Years,,ALL,Physical and Psychological Evaluation of Hormonal Therapy in Transsexual Persons,likely_include,high,agree_likely_include
NCT01171911,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Comparison of Intravenous Injection of Calcium Antagonist and Beta-blockade on Endothelial Shear Stress of Coronary Artery,INTERVENTIONAL,UNKNOWN,2010-10,2010-07-29,2010-07-29,200,Nanjing Medical University,"Nicardipine , Esmolol",China,False,18 Years,75 Years,ALL,Acute Coronary Syndrome; Coronary Artery Disease,obvious_exclude,high,
NCT01292785,include,recorded_adjudication,Human confirmation: explicit TGD population; hormone-induced brain changes are measured before and after testosterone/estradiol treatment.,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",OBSERVATIONAL,COMPLETED,2011-01,2011-02-10,2015-04-09,80,Medical University of Vienna,Hormones,Austria,False,18 Years,55 Years,ALL,Gender Identity Disorder,likely_include,high,agree_likely_include
NCT01354977,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Effect of Resveratrol on Age-related Insulin Resistance and Inflammation in Humans,INTERVENTIONAL,COMPLETED,2008-03,2011-05-17,2022-03-08,20,Albert Einstein College of Medicine,Resveratrol,United States,True,45 Years,65 Years,ALL,Type 2 Diabetes Mellitus; Insulin Resistance,obvious_exclude,high,
NCT01523483,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Vaginal Progesterone for Prevention of Preterm Birth After an Episode of Preterm Labor,INTERVENTIONAL,COMPLETED,2012-03,2012-02-01,2015-04-22,30,University Medical Centre Ljubljana,Progesterone; placebo vaginal capsules,Slovenia,False,18 Years,48 Years,FEMALE,Preterm Birth,obvious_exclude,high,
NCT01534351,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Comparison of Finasteride and Tamsulosin for Treatment of Benign Prostatic Hyperplasia (BPH) (MK-0906A-149 AM2),INTERVENTIONAL,TERMINATED,,,2018-08-29,1,,Finasteride; Tamsulosin; Finasteride-matching placebo; Tamsulosin-matching placebo,,False,50 Years,,MALE,Benign Prostatic Hyperplasia,obvious_exclude,high,
NCT01653925,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Molecular Mechanisms of Dutasteride and Dietary Interventions to Prevent Prostate Cancer and Reduce Its Progression,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2010-10-28,2012-07-31,2025-11-24,120,CHU de Quebec-Universite Laval,Dietary intervention first; Drug (Dutasteride) intervention first,Canada,False,35 Years,75 Years,MALE,Prostatic Neoplasms; Low Grade Prostate Cancer,obvious_exclude,high,
NCT01662466,exclude,recorded_adjudication,"Human confirmation: testosterone is administered to women with diminished ovarian reserve to improve IVF-related ovarian and embryo outcomes; this is a fertility indication, not GAHT, and no TGD population is defined.",Effect of Testosterone Treatment on Embryo Quality,INTERVENTIONAL,UNKNOWN,2012-07-01,2012-08-10,2020-11-12,180,Center for Human Reproduction,Testosterone cream (0.5mg per gram); DHEA; Placebo,United States,False,38 Years,44 Years,FEMALE,Primary Ovarian Insufficiency; Female Infertility Due to Diminished Ovarian Reserve,obvious_exclude,high,agree_obvious_exclude
NCT01720459,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Effects of Micronized Trans-resveratrol Treatment on Polycystic Ovary Syndrome (PCOS) Patients,INTERVENTIONAL,UNKNOWN,2012-12,2012-11-02,2012-11-02,40,Poznan University of Medical Sciences,Micronized trans-resveratrol; Placebo,Poland,False,18 Years,40 Years,FEMALE,Polycystic Ovary Syndrome (PCOS),obvious_exclude,high,
NCT01755182,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Systemic Therapy With or Without Upfront Transarterial Embolization for Inoperable Liver Metastasis of Neuroendocrine Tumors,INTERVENTIONAL,TERMINATED,2013-07,2012-12-24,2016-05-06,1,"National Cancer Institute, Naples",approved pharmacologic therapy; TAE,Italy,False,18 Years,80 Years,ALL,Neuroendocrine Tumors,obvious_exclude,high,
NCT01812161,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Effect of Low-frequency Electroacupuncture (EA) on Polycystic Ovary Syndrome,INTERVENTIONAL,COMPLETED,2012-11,2013-03-18,2018-02-26,54,Huazhong University of Science and Technology,acupuncture protocol 1; Acupuncture protocol 2,China,False,18 Years,28 Years,FEMALE,Polycystic Ovary Syndrome,obvious_exclude,high,
NCT01828320,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,"Triple Vulnerability? Circadian Tendency, Sleep Deprivation and Adolescence",INTERVENTIONAL,COMPLETED,2013-03,2013-04-10,2025-09-02,176,"University of California, Berkeley","Cognitive Behavior Therapy for Insomnia, Interpersonal and Social Rhythms Therapy, Chronotherapy; Psychoeducation",United States,True,10 Years,18 Years,ALL,Eveningness/Sleep,obvious_exclude,high,
NCT01858194,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,REnal Sympathetic dEnervaTion as an a Adjunct to Catheter-based VT Ablation,INTERVENTIONAL,COMPLETED,2013-03,2013-05-21,2020-04-17,21,Vivek Reddy,Renal sympathetic denervation; VT ablation alone,Czechia; United States,True,18 Years,,ALL,Ventricular Tachycardia,obvious_exclude,high,
NCT01880489,exclude,recorded_adjudication,Human confirmation: explicit transgender-women population; behavioral sexual-risk/substance-use intervention with no GAHT research role.,Multicomponent Intervention to Reduce Sexual Risk and Substance Use,INTERVENTIONAL,COMPLETED,2013-06,2013-06-19,2018-08-07,143,Hunter College of City University of New York,MI + CBST Intervention,United States,False,18 Years,,FEMALE,HIV; Sexually Transmitted Infections; Substance Use,human_review,medium,likely_exclude
NCT01882985,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,"Docetaxel Plus Lycopene in Castration Resistant, Chemotherapy-Naïve Prostate Cancer Patients",INTERVENTIONAL,COMPLETED,2010-12,2013-06-21,2021-01-05,14,"University of California, Irvine",Docetaxel; Lycopene,United States,True,21 Years,,MALE,Adenocarcinoma of the Prostate; Recurrent Prostate Cancer; Stage I Prostate Cancer; Stage IIA Prostate Cancer; Stage IIB Prostate Cancer; Stage III Prostate Cancer,obvious_exclude,high,
NCT01897324,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,IVF/ICSI Protocols in Poor Responders With Growth Hormone,INTERVENTIONAL,COMPLETED,2013-07,2013-07-11,2015-10-20,287,"Woman's Health University Hospital, Egypt","Growth hormone (Norditropin, Novo nordisk)",Egypt,False,20 Years,45 Years,FEMALE,Female Infertility Due to Diminished Ovarian Reserve,obvious_exclude,high,
NCT01931982,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Effect of Glucagon-like Peptide 1 (GLP-1) on Microvascular Myocardial Function in Patients With Type 2 Diabetes.,INTERVENTIONAL,COMPLETED,2013-05,2013-08-30,2014-06-25,20,Bispebjerg Hospital,Victoza,Denmark,False,25 Years,75 Years,ALL,Type 2 Diabetes; Microvascular Dysfunction,obvious_exclude,high,
NCT01999686,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,"PCOS Treatment Using DLBS3233, Metformin, and Combination of Both",INTERVENTIONAL,COMPLETED,2014-10,2013-12-03,2019-05-28,186,Dexa Medica Group,DLBS3233; Metformin XR; Placebo metformin; Placebo DLBS3233,Indonesia,False,18 Years,40 Years,FEMALE,Polycystic Ovary Syndrome (PCOS); Insulin Resistance,obvious_exclude,high,
NCT02018497,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Essential Hypotension and Allostasis Registry,OBSERVATIONAL,UNKNOWN,1995-01,2013-12-23,2023-09-21,5000,CES University,,Colombia,False,,,ALL,Blood Pressure; Depression; Panic Attack; Fibromyalgia; POTS; Inappropriate Sinus Tachycardia; Coronary Heart Disease; Acute Coronary Syndrome (ACS); Acute Myocardial Infarction (AMI); Cerebrovascular Disease (CVD); Transient Ischemic Attack (TIA); Atrial Fibrillation; Diabetes Mellitus; Cancer; Systolic Heart Failure; Diastolic Heart Failure; Chronic Fatigue Syndrome; Syncope; Vasovagal Syncope,obvious_exclude,high,
NCT02060474,exclude,recorded_adjudication,Human confirmation: the trial evaluates the thyroid-hormone analog Triac for MCT8 deficiency/Allan-Herndon-Dudley syndrome; there is no TGD population or GAHT research role.,Thyroid Hormone Analog Therapy in MCT8 Deficiency: Triac Trial Patients,INTERVENTIONAL,COMPLETED,2014-10,2014-02-12,2019-04-16,46,Erasmus Medical Center,Triac,Netherlands,False,1 Day,99 Years,MALE,Allan-Herndon-Dudley Syndrome,obvious_exclude,high,agree_obvious_exclude
NCT02119377,include,recorded_adjudication,"Human confirmation: explicit TGD population; hormone-therapy use, desire, and uptake are registered study outcomes.",First Australian National Trans Mental Health Study,OBSERVATIONAL,COMPLETED,2013-08,2014-04-21,2014-05-06,946,Curtin University,questionnaire,Australia,False,18 Years,,ALL,Transsexualism,human_review,medium,likely_include
NCT02185274,include,recorded_adjudication,Human confirmation: explicit TGD population; cross-sex hormone treatment effects on metabolic and psychological outcomes are explicit study aims.,Observational Study on Metabolism and Psychopathology in Transsexual Patients,OBSERVATIONAL,COMPLETED,2013-10,2014-07-09,2020-02-25,100,Max-Planck-Institute of Psychiatry,,Germany,False,18 Years,70 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT02229617,include,recorded_adjudication,"Human confirmation: explicit transgender male population; testosterone route, pharmacokinetics, and tolerability are directly compared.",Subcutaneous Testosterone Project,INTERVENTIONAL,COMPLETED,2015-07,2014-09-01,2016-06-06,14,University of British Columbia,Subcutaneous testosterone,Canada,False,19 Years,59 Years,MALE,Gender Dysphoria,likely_include,high,agree_likely_include
NCT02264743,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Oral Verses Patch Trial In Menopausal Women - Individualisation of Oestrogen Therapy,INTERVENTIONAL,UNKNOWN,2013-11,2014-10-15,2014-10-15,60,Royal Brompton & Harefield NHS Foundation Trust,Femoston Conti; EVOREL® CONTI,United Kingdom,False,40 Years,60 Years,FEMALE,Venous Thrombosis; Insulin Resistance,obvious_exclude,high,
NCT02378246,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Swedish Iodine in Pregnancy and Development in Children (SWIDDICH) Study,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2012-11,2015-03-04,2025-08-26,1337,Göteborg University,Iodine; Placebo,Sweden,False,18 Years,40 Years,FEMALE,Thyroid Gland; Node; Pregnancy; Cognitive Developmental Delay,obvious_exclude,high,
NCT02380027,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,PRostate Evaluation for Clinically Important Disease: Sampling Using Image-guidance Or Not?,INTERVENTIONAL,COMPLETED,2016-01,2015-03-05,2018-05-01,500,"University College, London",MRI; MRI-targeted biopsy; TRUS-biopsy,United Kingdom,False,18 Years,,MALE,Prostate Neoplasm,obvious_exclude,high,
NCT02381340,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,ACE Stapler Sub Study,OBSERVATIONAL,COMPLETED,2012-06,2015-03-06,2018-01-12,10,Maastricht University Medical Center,ACE stapling procedure,Netherlands,False,18 Years,50 Years,ALL,Obesity,obvious_exclude,high,
NCT02381821,exclude,recorded_adjudication,"Human confirmation: the study evaluates endometrial imaging and ICSI outcomes in infertile women, with GnRH agonist use for ovarian stimulation rather than gender-affirming care; no TGD population or GAHT research role is defined.",Endometrial Volume and Sub-endometrial Vascularity as Predictors of In-vitro Fertilization Success,OBSERVATIONAL,COMPLETED,2016-01-01,2015-03-06,2018-01-03,82,Cairo University,3 D ultrasound and Doppler examination; GnRH agonist,,False,19 Years,39 Years,FEMALE,"Reproductive Techniques, Assisted",obvious_exclude,high,agree_obvious_exclude
NCT02396459,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Triac Trial II in MCT8 Deficiency Patients,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2020-12-07,2015-03-24,2026-02-20,22,Rare Thyroid Therapeutics International AB,Tiratricol,Czechia; Germany; Netherlands; United States,False,,30 Months,MALE,Allan-Herndon-Dudley Syndrome,obvious_exclude,high,
NCT02434562,exclude,recorded_adjudication,Human confirmation: generic endocrine bioassay/biobank record without an explicitly defined TGD GAHT research population or GAHT analytic role.,Development and Validation of in Vitro Cell-based Bioassays for Nuclear Receptor Activation,OBSERVATIONAL,COMPLETED,2012-04,2015-05-05,2017-01-25,73,Universitaire Ziekenhuizen KU Leuven,Serum (with or without urine) samples,,False,,,ALL,Hypogonadism; Estrogens; Testosterone; Androgens,human_review,medium,likely_exclude
NCT02518009,include,recorded_adjudication,Human confirmation: explicit TGD population; participants are followed through testosterone/estrogen treatment with treatment-related physiologic outcomes measured.,GEnder Dysphoria Treatment in Sweden,OBSERVATIONAL,COMPLETED,2015-04,2015-08-07,2022-06-10,40,Karolinska Institutet,Genetic men treated with estrogen; Genetic women treated with androgen,Sweden,False,20 Years,40 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT02524041,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Association Between Serum Periostin Levels and Cortical Porosity in Patients With Secondary Hyperparathyroidism,INTERVENTIONAL,COMPLETED,2014-03,2015-08-14,2016-05-25,22,Centre Hospitalier Universitaire de Saint Etienne,HR-pQCT; blood specimen,France,False,18 Years,,ALL,Hyperparathyroidism,obvious_exclude,high,
NCT02550431,include,recorded_adjudication,Human confirmation: explicit transgender youth population; cardiometabolic and body-composition outcomes are evaluated in relation to GAHT.,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,OBSERVATIONAL,COMPLETED,2016-03,2015-09-15,2018-02-05,58,"University of Colorado, Denver",,United States,False,9 Years,21 Years,ALL,Transgendered Persons,likely_include,high,agree_likely_include
