nct_id,final_screening,decision_basis,adjudication_reason,brief_title,study_type,overall_status,start_date,study_first_post_date,registry_last_update_post_date,enrollment,lead_sponsor,interventions,countries,has_results,minimum_age,maximum_age,sex,conditions,flash_triage,flash_confidence,sol_audit
NCT02983110,include,recorded_adjudication,Human confirmation: explicit transgender population; sex-hormone therapy is an explicit pharmacologic exposure and hormone concentrations are measured.,Sex Hormone Therapy and Mucosal Tissues,OBSERVATIONAL,COMPLETED,2016-11,2016-12-06,2018-12-06,12,"University of North Carolina, Chapel Hill",Anoscopy with Rectal Tissue Sampling; Phlebotomy; Female Genital Tract Sampling,United States,False,18 Years,65 Years,ALL,Hiv,likely_include,high,agree_likely_include
NCT03060785,include,recorded_adjudication,Human confirmation: explicit transgender population; PrEP pharmacokinetics are compared by feminizing-hormone exposure.,Finding the Right Tenofovir/Emtricitabine Regimen for Pre-Exposure Prophylaxis (PrEP) in Transgender Women,INTERVENTIONAL,COMPLETED,2016-03-08,2017-02-23,2018-07-18,16,Johns Hopkins University,Tenofovir Disoproxil Fumarate/Emtricitabine,United States,False,18 Years,65 Years,ALL,HIV Prevention,human_review,medium,likely_include
NCT03120936,include,recorded_adjudication,Human confirmation: explicit transgender population; registered outcomes directly assess effects of PrEP on hormone levels and hormone use on PrEP concentrations.,The Stay Study: A Demonstration Project Advancing PrEP Delivery in the San Francisco Bay Area Transgender Community,INTERVENTIONAL,COMPLETED,2017-08-08,2017-04-19,2021-04-21,158,"Public Health Foundation Enterprises, Inc.",Emtricitabine / Tenofovir Disoproxil Oral Tablet; PrEP support,United States,False,18 Years,,ALL,Transgender Persons; Pre-Exposure Prophylaxis,human_review,medium,likely_include
NCT03220152,include,recorded_adjudication,Human confirmation: explicit transgender population; FTC/TDF pharmacokinetics are compared between participants using and not using hormones.,Implementation of PrEP to HIV in Brazilian Transgender Women,INTERVENTIONAL,UNKNOWN,2017-07-10,2017-07-18,2018-07-31,120,Oswaldo Cruz Foundation,emtricitabine / tenofovir 200/300 mg,Brazil,False,18 Years,,MALE,"HIV, Prevention",human_review,medium,likely_include
NCT03270969,include,recorded_adjudication,Human confirmation: explicit transgender women population; PrEP and feminizing hormone therapy interactions are directly evaluated.,A Pharmacokinetic Evaluation of Tenofovir/Emtricitabine as HIV Pre-Exposure Prophylaxis in Transgender Women,INTERVENTIONAL,COMPLETED,2018-01-05,2017-09-01,2023-09-15,15,University of Nebraska,Tenofovir Disoproxil Fumarate/Emtricitabine,United States,False,19 Years,,ALL,HIV Prevention,likely_include,high,agree_likely_include
NCT03293771,include,recorded_adjudication,Human confirmation: explicit TGD population; postoperative symptoms are explicitly analyzed in relation to hormone-therapy use.,Transgender Post-reassignment Urogynecologic Measures and Perceptions,OBSERVATIONAL,UNKNOWN,,,2019-04-23,200,,Focus group interviews; Questionnaire packet,,False,18 Years,,MALE,Gender Identity Disorder of Adult; Voiding Disorders; Sexual Dysfunction,human_review,medium,likely_include
NCT03465852,include,recorded_adjudication,Human confirmation: explicit transgender population; medically supervised hormone-therapy uptake is an explicit intervention target/outcome.,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,INTERVENTIONAL,COMPLETED,2019-07-15,2018-03-14,2023-02-28,144,Centers for Disease Control and Prevention,ChiCAS,United States,False,18 Years,,MALE,HIV Infections,human_review,medium,likely_include
NCT03557268,include,recorded_adjudication,Human confirmation: explicit transgender youth population; cardiometabolic outcomes are measured after initiation of testosterone GAHT.,Pubertal Blockade and Hormone Therapy in Transgender Youth,OBSERVATIONAL,COMPLETED,2018-06-19,2018-06-14,2020-09-29,19,"University of Colorado, Denver",,United States,False,13 Years,16 Years,FEMALE,Gender Identity; Gender Dysphoria; Gender Identity Disorder in Adolescence and Adulthood,likely_include,high,agree_likely_include
NCT03595956,include,recorded_adjudication,Human confirmation: explicit transgender cohort; hormone-based medical gender affirmation is an explicit exposure linked to health outcomes.,Transgender Cohort Study of Gender Affirmation and HIV-related Health,OBSERVATIONAL,UNKNOWN,2019-02-11,2018-07-23,2020-11-18,4500,Fenway Community Health,Medical gender affirmation,United States,False,18 Years,,ALL,"HIV/AIDS; STI; Gender Dysphoria; Transsexualism; Gender Identity; Depression, Anxiety",human_review,medium,likely_include
NCT03620734,include,recorded_adjudication,Human confirmation: explicit transgender women population; drug-drug interactions between feminizing hormone therapy and antiretroviral agents are directly studied.,Study to Determine Interaction Between the Use of Feminizing Hormone Therapy and Antiretroviral Agents Concomitantly Among Transgender Women,OBSERVATIONAL,COMPLETED,2017-11-30,2018-08-08,2019-10-09,40,Thai Red Cross AIDS Research Centre,,Thailand,False,18 Years,40 Years,MALE,PrEP and ART,likely_include,high,agree_likely_include
NCT03637920,include,recorded_adjudication,Human confirmation: explicit transgender male population; sexuality outcomes are measured during hormone treatment.,Sexuality in Transmen During Hormone and Operative Treatment,OBSERVATIONAL,UNKNOWN,2018-07-30,2018-08-20,2018-08-20,160,Medical University of Graz,,Austria,False,18 Years,50 Years,ALL,Gender Dysphoria; Gender Identity Disorder; Transsexualism; Body Image; Sexuality,likely_include,high,agree_likely_include
NCT03651427,include,recorded_adjudication,Human confirmation: explicit TGD population; neuronal and cognitive changes are measured before and after restarting cross-sex hormone therapy.,Cross-sex Hormone Therapy and Neuronal Plasticity,INTERVENTIONAL,UNKNOWN,2017-02-13,2018-08-29,2018-08-29,30,Hospital de Clinicas de Porto Alegre,Estradiol,Brazil,False,18 Years,60 Years,MALE,Gender Dysphoria,likely_include,high,agree_likely_include
NCT03652623,include,recorded_adjudication,Human confirmation: explicit transgender youth population; PrEP and GAHT pharmacokinetics are directly measured.,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - PK Study",INTERVENTIONAL,COMPLETED,2018-07-23,2018-08-29,2024-04-01,49,Hektoen Institute for Medical Research,TDF/FTC,United States,False,15 Years,24 Years,ALL,HIV/AIDS; Gender; Behavior and Behavior Mechanisms,likely_include,high,agree_likely_include
NCT03725280,include,recorded_adjudication,Human confirmation: explicit transgender male population; ovarian biology is compared before versus after testosterone GAHT exposure.,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,OBSERVATIONAL,UNKNOWN,2018-11-01,2018-10-31,2018-10-31,40,Tel-Aviv Sourasky Medical Center,IVF,,False,18 Years,45 Years,FEMALE,IVF; Fertility Preservation; Infertility,likely_include,high,agree_likely_include
NCT03757117,include,recorded_adjudication,Human confirmation: explicit transgender population; feminizing hormone therapy is a study intervention with hormone levels and adherence monitored.,Gender-Affirmative Transgender Care to Improve the HIV Treatment Cascade,INTERVENTIONAL,COMPLETED,2016-10-01,2018-11-28,2018-11-28,220,"Asociación Civil Impacta Salud y Educación, Peru",Feminizing hormone therapy; Peer navigation,Peru,False,18 Years,,MALE,HIV-1-infection,likely_include,high,agree_likely_include
NCT03864913,include,recorded_adjudication,Human confirmation: explicit transgender male adolescent population; subcutaneous versus intramuscular testosterone GAHT is directly compared.,Comparing Subcutaneous Testosterone to Intramuscular Testosterone in Gender Affirming Care of Transgender Male Adolescents,INTERVENTIONAL,COMPLETED,2018-01-26,2019-03-06,2024-04-03,26,Oregon Health and Science University,Testosterone injection; PedsQL questionnarie; Masculinizing effects questionnaire; Medication experience questionnaire,United States,False,14 Years,19 Years,FEMALE,Health Services for Transgender Persons; Transgender Persons,likely_include,high,agree_likely_include
NCT04028219,include,recorded_adjudication,Human confirmation: explicit TGD population; prospective outcomes are measured across initiation and continuation of GAHT.,Transgender In Transition,OBSERVATIONAL,RECRUITING,2019-05-15,2019-07-22,2022-11-08,750,Universitätsklinikum Hamburg-Eppendorf,Online surveys,Germany; Switzerland,False,18 Years,,ALL,Gender Incongruence,likely_include,high,agree_likely_include
NCT04036500,include,recorded_adjudication,Human confirmation: explicit transgender women population; oral versus sublingual estradiol pharmacokinetics are directly compared.,Transgender Estradiol,INTERVENTIONAL,COMPLETED,2019-09-23,2019-07-29,2025-04-11,11,Medical College of Wisconsin,Estradiol,United States,True,18 Years,,ALL,Transgender Persons,likely_include,high,agree_likely_include
NCT04050371,include,recorded_adjudication,Human confirmation: explicit TGD population; PrEP interactions with feminizing/masculinizing hormone therapy are directly evaluated.,Study of Truvada for HIV Pre Exposure Prophylaxis Using Daily Directly Observed Therapy to Look at Potential Interactions Between Truvada and Hormone Therapy,INTERVENTIONAL,COMPLETED,2017-08-03,2019-08-08,2021-05-11,48,"University of California, San Francisco",200 mg emtricitabine and 300 mg tenofovir disoproxil fumarate,United States,True,18 Years,65 Years,ALL,HIV Prevention; Transgender Health,likely_include,high,agree_likely_include
NCT04066283,include,recorded_adjudication,Human confirmation: explicit transgender women population; vascular and metabolic outcomes are studied in relation to GAHT.,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Women,OBSERVATIONAL,COMPLETED,2019-04-17,2019-08-26,2024-09-19,29,"University of Colorado, Denver",No intervention,United States,False,18 Years,75 Years,ALL,Transgender; Gender Identity; Vascular Stiffness; Vascular Inflammation; Insulin Sensitivity; Blood Pressure; Lipid Disorder; Appetitive Behavior,likely_include,high,agree_likely_include
NCT04128488,include,recorded_adjudication,Human confirmation: explicit transgender women population; cardiometabolic outcomes are measured before and after GAHT.,Effects of Gender-Affirming Hormone Therapy Among Transgender Women,OBSERVATIONAL,COMPLETED,2019-11-01,2019-10-16,2025-05-18,33,Massachusetts General Hospital,"Abdominal MR Imaging; Cardiac MRI/MRS; Oral Glucose Tolerance Testing; Whole Body, Lumbar Spine, and Hip DEXA Imaging",United States,False,16 Years,99 Years,MALE,Transgender Women; HIV/AIDS; Cardiovascular Diseases; Metabolic Disease; Coagulopathy,likely_include,high,agree_likely_include
NCT04237467,include,recorded_adjudication,Human confirmation: explicit transgender men population; vascular and metabolic outcomes are studied in relation to testosterone GAHT.,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,OBSERVATIONAL,COMPLETED,2020-01-29,2020-01-23,2024-09-19,16,"University of Colorado, Denver",No intervention,United States,False,18 Years,75 Years,ALL,Transgender; Gender Identity; Vascular Stiffness; Vascular Inflammation; Blood Pressure; Lipid Disorder; Appetitive Behavior,likely_include,high,agree_likely_include
NCT04254354,include,recorded_adjudication,Human confirmation: explicit TGD population; physiologic outcomes are measured before and during testosterone treatment.,"Transgender Men, Non-binary Persons and Testosterone Treatment BODY IDENTITY CLINIC",OBSERVATIONAL,RECRUITING,2020-03-03,2020-02-05,2025-08-13,200,Marianne Andersen,,Denmark,False,18 Years,,FEMALE,Transgenderism,likely_include,high,agree_likely_include
NCT04283656,include,recorded_adjudication,Human confirmation: explicit transgender women population; estradiol/spironolactone are directly studied in an antiretroviral drug-interaction design.,Evaluating Drug Interactions Between Doravirine With Estradiol and Spironolactone in Healthy Transgender Women,INTERVENTIONAL,COMPLETED,2022-01-04,2020-02-25,2025-03-26,8,Thomas Jefferson University,Doravirine/Lamivudine/Tenofovir; Spironolactone 100mg; Estradiol 2mg; Placebo,United States,True,18 Years,45 Years,FEMALE,Transgender Health; Gender Dysphoria; Transgender Women; Human Immunodeficiency Virus,likely_include,high,agree_likely_include
NCT04309760,include,recorded_adjudication,Human confirmation: explicit TGD population; brain-connectome outcomes are measured before and after hormone therapy initiation.,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,INTERVENTIONAL,WITHDRAWN,2021-02,2020-03-16,2026-06-10,0,Hôpital le Vinatier,MRI,,False,18 Years,50 Years,MALE,Gender Dysphoria,likely_include,high,agree_likely_include
NCT04321551,include,recorded_adjudication,Human confirmation: explicit TGD population; exogenous testosterone effects on ovarian and hormone dynamics are directly studied.,Hormone Secretion in Transgender Males,INTERVENTIONAL,WITHDRAWN,2023-07-01,2020-03-25,2025-01-13,0,"University of California, San Diego",Testosterone Cyp 200Mg/Ml Inj (in Oil); Letrozole,,False,18 Years,35 Years,FEMALE,Transgender; Healthy,likely_include,high,agree_likely_include
NCT04374708,include,recorded_adjudication,Human confirmation: explicit TGD population; body-perception and brain outcomes are compared before and after cross-sex hormone therapy.,Gender Identity and Own Body Perception,OBSERVATIONAL,TERMINATED,2018-02-22,2020-05-05,2023-03-22,132,"University of California, Los Angeles",fMRI,United States,False,18 Years,40 Years,ALL,Gender Dysphoria,likely_include,high,agree_likely_include
NCT04378439,include,recorded_adjudication,"Human confirmation: explicit transgender population; medically supervised GAHT use, desire, uptake, and knowledge are explicit intervention targets/outcomes.",Appalachian Partnership to Reduce Disparities (Aim 2),INTERVENTIONAL,RECRUITING,,,2026-05-26,141,,Peer Navigation; mHealth,,False,18 Years,,ALL,HIV/AIDS; STI; HCV,human_review,medium,likely_exclude
NCT04440722,include,recorded_adjudication,"Human confirmation: explicit transgender cohort; hormone levels, safety measures, and clinical outcomes are followed before and after GAHT.",Prospective Observational Study and Biobank CKIO,OBSERVATIONAL,SUSPENDED,2020-09-01,2020-06-22,2025-03-21,100,Odense University Hospital,,Denmark,False,18 Years,,ALL,Transgender,likely_include,high,agree_likely_include
NCT04448418,include,recorded_adjudication,Human confirmation: explicit trans population; monitoring and continuation of hormone treatment are explicit study outcomes in the telemedicine evaluation.,The Impact of COVID-19 Outbreak on Trans-population's Health in Italy,OBSERVATIONAL,COMPLETED,2020-05-20,2020-06-25,2021-04-29,111,Unita Complessa di Ostetricia e Ginecologia,web based survey,Italy,False,18 Years,100 Years,ALL,Transgender Persons; Coronavirus; Coronavirus Infection; COVID; COVID-19,human_review,medium,likely_include
NCT04478760,include,recorded_adjudication,Human confirmation: explicit TGD population on stable GAHT; laboratory reference intervals and GAHT formulation differences are directly studied.,Trans & Non-binary Reference Intervals While on Hormone Therapy Study,OBSERVATIONAL,COMPLETED,2021-04-13,2020-07-21,2025-09-03,250,King's College Hospital NHS Trust,,United Kingdom,False,18 Years,,ALL,Transgender Persons; Hormone Replacement Therapy; Reference Values,likely_include,high,agree_likely_include
NCT04482920,include,recorded_adjudication,Human confirmation: explicit transgender youth population; renal function is measured before and after testosterone or estradiol GAHT initiation.,Effect of Hormone Therapy on Renal Function,OBSERVATIONAL,COMPLETED,2021-04-15,2020-07-23,2024-05-03,22,"University of Colorado, Denver",p-aminohippurate clearance study; Iohexol infusion,United States,False,17 Years,30 Years,ALL,Transgenderism; Kidney Diseases; Kidney Injury,likely_include,high,agree_likely_include
NCT04491422,include,recorded_adjudication,Human confirmation: explicit transgender population; feminizing hormone therapy is explicitly analyzed as a factor influencing PrEP use/adherence.,Same-Day PrEP Initiation and Sexual Health for Transgender Women,INTERVENTIONAL,COMPLETED,,,2023-10-12,200,,Integrated Next Steps Counseling with Real-Time Drug Level Feedback,,False,14 Years,,MALE,"HIV; PrEP; Transgender Women; Sexually Transmitted Diseases, Bacterial",human_review,medium,likely_include
NCT04508231,include,recorded_adjudication,Human confirmation: explicit TGD population; metabolic and body-composition changes are evaluated after cross-sex hormone treatment.,Metabolic Consequences of Cross-sex Hormonal Treatment,OBSERVATIONAL,UNKNOWN,2020-07-24,2020-08-11,2020-08-11,98,"Central Hospital, Nancy, France",Gender-affirming hormone therapy,France,False,18 Years,,ALL,Gender Dysphoria,likely_include,high,agree_likely_include
NCT04515472,include,recorded_adjudication,Human confirmation: explicit TGD population; glucose metabolism is studied in relation to estrogen/testosterone GAHT exposure.,Effect of Gender Affirming Hormone Therapy on Glucose Metabolism,INTERVENTIONAL,TERMINATED,2020-06-17,2020-08-17,2025-07-20,24,The University of Texas Health Science Center at San Antonio,Botnia Clamp; Withdrawal of Gender Affirming Hormone Therapy (GAHT),United States,False,18 Years,,ALL,Transgender Persons,likely_include,high,agree_likely_include
NCT04524325,include,recorded_adjudication,Human confirmation: explicit transgender men population; blood-pressure physiology is studied in relation to chronic testosterone GAHT.,Mechanisms of Blood Pressure Dysfunction in Transmen Receiving Testosterone,INTERVENTIONAL,WITHDRAWN,2023-01-01,2020-08-24,2022-11-03,0,Yale University,Trans men,,False,18 Years,45 Years,FEMALE,Transgender Men; Blood Pressure; Hyperandrogenism,likely_include,high,agree_likely_include
NCT04531943,include,recorded_adjudication,Human confirmation: explicit transgender women population; rectal immune outcomes are compared before and after feminizing hormone therapy.,Feminizing Hormone Therapy and the Rectal Mucosa Immune Environment in Transgender Women,OBSERVATIONAL,COMPLETED,2020-10-01,2020-08-31,2025-06-17,285,Emory University,Estrogen; Estrogen plus Progesterone,United States,False,18 Years,59 Years,ALL,HIV Prevention,likely_include,high,agree_likely_include
NCT04534881,include,recorded_adjudication,Human confirmation: explicit transgender women population; progesterone is randomized as part of feminizing hormone therapy with hormone and breast outcomes measured.,Effect of Progesterone on Testosterone Concentrations and Breast Development in Transwomen,INTERVENTIONAL,TERMINATED,2020-10-20,2020-09-01,2024-03-19,5,St. Louis University,Progesterone 200 MG; Placebo,United States,True,18 Years,65 Years,MALE,Transgender Persons,likely_include,high,agree_likely_include
NCT04551144,include,recorded_adjudication,"Human confirmation: explicit TGD population; muscle, fat, receptor, and inflammatory changes are measured after testosterone/estradiol treatment.","Effect of Transgender Therapy on Muscle, Fat and Tissue Receptors",OBSERVATIONAL,TERMINATED,2020-10-06,2020-09-16,2024-01-08,4,St. Louis University,testosterone cypionate; Estradiol Valerate,United States,False,18 Years,50 Years,ALL,Gender Incongruence; Transgenderism,likely_include,high,agree_likely_include
NCT04573127,include,recorded_adjudication,Human confirmation: explicit transgender population; the study objective includes analysis of long-term consequences of cross-sex hormone treatment.,Gender Dysphoria: Epidemiological Data,OBSERVATIONAL,UNKNOWN,,,2020-10-05,320,,descriptive study,,False,,,ALL,Gender Dysphoria,human_review,medium,likely_exclude
NCT04590417,include,recorded_adjudication,Human confirmation: explicit transgender women population; bidirectional pharmacokinetic interactions between feminizing hormone therapy and PrEP are directly evaluated.,Assessment of Drug-drug Interactions Between Feminizing Hormone Therapy and Emtricitabine/Tenofovir Alafenamide Concomitantly for Pre-exposure Prophylaxis Among Transgender Women,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-01-24,2020-10-19,2024-11-25,20,Thai Red Cross AIDS Research Centre,"Estradiol valerate 2 mg, cyproterone acetate 25 mg",Thailand,False,18 Years,40 Years,MALE,Drug Interaction,likely_include,high,agree_likely_include
NCT04593680,include,recorded_adjudication,Human confirmation: explicit transgender men population; pharmacokinetic interactions between masculinizing hormone therapy and PrEP are directly evaluated.,Assessment of Drug-drug Interactions Between Masculinizing Hormone Therapy and Antiretroviral Agents Concomitantly for Pre-exposure Prophylaxis Among Transgender Men,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-01-24,2020-10-20,2024-11-25,20,Thai Red Cross AIDS Research Centre,Emtricitabine 200 mg/tenofovir disoproxil fumarate 300 mg (F/TDF) and emtricitabine 200 mg/tenofovir alafenamide 25 mg (F/TAF),Thailand,False,18 Years,40 Years,FEMALE,Drug Interaction,likely_include,high,agree_likely_include
NCT04596592,include,recorded_adjudication,Human confirmation: explicit transgender youth population; cardiometabolic outcomes are measured around estradiol GAHT initiation.,Pubertal Blockade and Estradiol Effects on Cardiometabolic Health for Transitioning Youth,OBSERVATIONAL,RECRUITING,2021-02-15,2020-10-22,2025-06-10,90,"University of Colorado, Denver",,United States,False,13 Years,16 Years,ALL,Transgenderism; Gender Dysphoria; Insulin Sensitivity,likely_include,high,agree_likely_include
NCT04616963,include,recorded_adjudication,Human confirmation: explicit TGD population; PrEP pharmacology is explicitly compared in participants using versus not using GAHT.,Emtricitabine/Tenofovir Alafenamide Switch Study for Transgender Individuals for HIV Pre-exposure Prophylaxis,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2019-10-24,2020-11-05,2023-05-06,64,"University of California, San Diego",Emtricitabine / Tenofovir Disoproxil Oral Tablet 200/300 mg; Emtricitabine Tenofovir Alafenamide 200/25 mg,United States,False,18 Years,,ALL,Hiv; Hormone Therapy,likely_include,high,agree_likely_include
NCT04736797,include,recorded_adjudication,Human confirmation: explicit TGD population; longitudinal outcomes are measured before and after initiation of gender-affirming hormone therapy.,Transition in Transgender,OBSERVATIONAL,UNKNOWN,2020-11-27,2021-02-03,2021-02-12,200,RWTH Aachen University,,Germany,False,18 Years,55 Years,ALL,Gender Dysphoria,likely_include,high,agree_likely_include
NCT04742491,include,recorded_adjudication,Human confirmation: explicit transgender women population; GAHT is integrated into the PrEP intervention and medical monitoring strategy.,Pre-Exposure Prophylaxis for Transgender Women in the US and South America,INTERVENTIONAL,COMPLETED,2021-03-26,2021-02-08,2025-12-17,304,HIV Prevention Trials Network,Immediate Intervention Arm; Deferred Intervention Arm,Brazil; United States,True,18 Years,,MALE,HIV Prevention,likely_include,high,agree_likely_include
NCT04742816,include,recorded_adjudication,Human confirmation: explicit TGD population; exogenous hormone exposure and concentrations are analyzed with renal biomarkers and PrEP pharmacology.,Renal Effects of Hormones/Biomarkers in Transgender PrEP Recipients,INTERVENTIONAL,COMPLETED,2020-09-17,2021-02-08,2022-03-03,42,"University of California, San Diego",IHX-CL measurements; Iohexol,United States,False,18 Years,100 Years,ALL,Transgender; Renal Function; Hormone Replacement Therapy,likely_include,high,agree_likely_include
NCT04760691,include,recorded_adjudication,Human confirmation: explicit transgender women population; PrEP-GAHT pharmacokinetic and pharmacodynamic interactions are directly investigated.,Pre-Exposure Prophylaxis (PrEP)- Gender Affirming Hormone Therapy (GAHT) Interactions in TGW,INTERVENTIONAL,COMPLETED,2021-03-01,2021-02-18,2026-04-06,13,Johns Hopkins University,Truvada alone; Truvada plus Leuprolide 11.25mg intramuscular injection; Truvada plus Estradiol 1 mg; Truvada plus Estradiol 6 mg; Estradiol 6 mg alone,United States,True,18 Years,,MALE,HIV; Prophylaxis; Transgender,likely_include,high,agree_likely_include
NCT04838249,include,recorded_adjudication,Human confirmation: explicit TGD population; metabolic and physiologic outcomes are measured around initiation of cross-sex hormone therapy.,"Effects of Cross-sex Hormone Therapy on Eating Behavior, Metabolism, Energy Balance and Cardiovascular System",OBSERVATIONAL,RECRUITING,2021-05-05,2021-04-09,2025-12-05,80,University of Leipzig,,Germany,False,18 Years,,ALL,Transsexualism; Transgenderism; Adiposity; Eating Behavior; Arterial Stiffness; Microangiopathy,likely_include,high,agree_likely_include
NCT04867798,include,recorded_adjudication,Human confirmation: explicit transgender population; masculinizing hormone use and hormone-PrEP interaction concerns are explicit study variables.,Transgender Men and HIV in Uganda: PrEP Uptake and Persistence,OBSERVATIONAL,COMPLETED,2021-09-16,2021-04-30,2023-10-12,75,Makerere University,Lamivudine-Tenofovir 300 Mg-300 Mg Oral Tablet,Uganda,False,14 Years,,FEMALE,HIV; Sexually Transmitted Infections; PrEP; Transgender Men,human_review,medium,likely_include
NCT04922424,include,recorded_adjudication,Human confirmation: explicit transgender men population; the registered research question directly concerns cardiovascular effects and risks of testosterone GAHT.,Mechanisms and Interventions to Address Cardiovascular Risk of Gender-affirming Hormone Therapy in Trans Men,INTERVENTIONAL,WITHDRAWN,2022-09-30,2021-06-10,2022-11-03,0,Yale University,Atorvastatin; placebo,United States,False,18 Years,35 Years,ALL,Hypertension; Hyperlipidemias,likely_include,high,agree_likely_include
