review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
91,B05,2_dual_model_agreement,NCT05891795,Clascoterone for Steroid-related Acne Vulgaris in Transgender Male Patients Receiving Masculinizing Hormone Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05891795,,,
92,B05,2_dual_model_agreement,NCT06005610,Estradiol Therapy In Transgender Women to Research Interactions With HIV Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06005610,,,
93,B05,2_dual_model_agreement,NCT06022562,Effects of Gender-affirming Hormone Therapy on Transgender People,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06022562,,,
94,B05,2_dual_model_agreement,NCT06083766,Metabolic and Physiologic Responses to Hormone Therapy in Transgender and Gender Diverse People,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06083766,,,
95,B05,2_dual_model_agreement,NCT06116201,Influences of Long Term Hormone Therapy on Physical Fitness and Vascular Function in Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06116201,,,
96,B05,2_dual_model_agreement,NCT06149065,Factors Associated With the Acne Severity Among Transmen Population: a Cross-sectional Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06149065,,,
97,B05,2_dual_model_agreement,NCT06230770,Impact of Progestin-only Contraception on Bleeding Patterns in Individuals Initiating GATT,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06230770,,,
98,B05,2_dual_model_agreement,NCT06234488,Multi-Institutional Transgender & Gender-Diverse Breast Cancer Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06234488,,,
99,B05,2_dual_model_agreement,NCT06245681,"Effects of Cross-sex Hormone Treatment on Cardiac Function, Myocardial and Hepatic Fat Content",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06245681,,,
100,B05,2_dual_model_agreement,NCT06247267,The Effect of Sex Steroid Replacement Therapy in the Hypogonadism and Transgender Active-Duty Population,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06247267,,,
