review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
11,B01,1_sol_promoted,NCT05195164,The Effects of Orchiectomy and Age on Vascular and Metabolic Health in Older Versus Younger Transgender Women,Flash human_review -> Sol likely_include,Sex-hormone concentrations are explicitly monitored before and after orchiectomy in transgender women using estradiol and spironolactone.,https://clinicaltrials.gov/study/NCT05195164,include,Sex-hormone concentrations are repeatedly monitored alongside vascular and metabolic outcomes in participants receiving GAHT.,
12,B01,1_sol_promoted,NCT05863676,Ovarian Tissue Cryopreservation in the Setting of Gender-affirming Therapy,Flash human_review -> Sol likely_include,The registry explicitly investigates effects of prior hormone therapy on ovarian tissue and follicle measures.,https://clinicaltrials.gov/study/NCT05863676,include,Prior hormone therapy is explicitly investigated in relation to ovarian tissue and follicle measures.,
13,B01,1_sol_promoted,NCT06074796,The Determinants of Fertility Preservation in TRANSgender Patients.,Flash human_review -> Sol likely_include,Prior hormone therapy is an explicit determinant in the fertility-preservation profile analysis.,https://clinicaltrials.gov/study/NCT06074796,include,Prior hormone therapy is analyzed as a determinant in fertility-preservation profiles.,
14,B01,1_sol_promoted,NCT06615401,Understanding Perceived Access and Receipt of Gender-affirming Treatments Among Transgender Veterans,Flash human_review -> Sol likely_include,"Receipt and access to hormone therapy, and their associations with mental-health outcomes, are explicit study aims.",https://clinicaltrials.gov/study/NCT06615401,include,Receipt/access to hormone therapy and associations with mental-health outcomes are explicit study aims.,
15,B01,1_sol_promoted,NCT06733415,Changes in Energy Expenditure (EE) in Transsexuals Undergoing Hormonal Therapy,Flash human_review -> Sol likely_include,Metabolic rate is measured before and after initiation of gender-affirming hormonal treatment.,https://clinicaltrials.gov/study/NCT06733415,include,Metabolic outcomes are measured before and after initiation of gender-affirming hormone treatment.,
16,B01,1_sol_promoted,NCT06854965,Cohort Study on Factors Associated with the Evolution of Quality of Life Among Transgender Individuals in the French Population,Flash human_review -> Sol likely_include,"Quality of life is explicitly analyzed with hormone-therapy complications, transition modality, and self-medication variables.",https://clinicaltrials.gov/study/NCT06854965,include,"Quality of life is analyzed with hormone-therapy complications, transition modality, and self-medication variables.",
17,B01,1_sol_promoted,NCT06953908,The Copenhagen Gender Identity Cohort,Flash human_review -> Sol likely_include,"The registry explicitly evaluates hormone-therapy effects, adverse effects, and treatment courses in a TGD population.",https://clinicaltrials.gov/study/NCT06953908,include,"Hormone-therapy effects, complications, and treatment courses are explicit study subjects.",
18,B01,2_dual_model_agreement,NCT00146146,Testosterone and Its Metabolites in GID,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT00146146,include,Testosterone and its metabolites are directly manipulated and analyzed as gender-affirming hormone treatment variables.,
19,B01,2_dual_model_agreement,NCT01065220,Sex Steroids and the Serotonin Transporter,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT01065220,include,Brain serotonin-transporter binding is measured before and after sex-steroid hormone therapy.,
20,B01,2_dual_model_agreement,NCT01072825,A European Network for the Investigation of Gender Incongruence,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT01072825,include,Participants are prospectively followed through cross-sex hormone treatment with treatment-related outcomes measured.,
