nct_id,brief_title,study_type,overall_status,conditions,brief_summary,interventions,study_population,eligibility_text,primary_outcomes,legacy_preliminary_screening,legacy_screening_reason,preliminary_screening,screening_reason,preliminary_screening_basis,human_screening,human_screening_reason
NCT04195659,Chest Dysphoria in Transmasculine Spectrum Adolescents,OBSERVATIONAL,COMPLETED,Gender Dysphoria,"The investigators hypothesize that masculinizing top surgery (e.g., mastectomy and chest masculinization) leads to an improvement in self-report chest dysphoria, gender dysphoria, and gender congruence in assigned-female-at-birth, transgender and non-binary youth and young adults. This is a prospective, observational study that will enroll assigned-female-at-birth, transmasculine spectrum individuals age 13 to 25 years old who are or are not undergoing top surgery. Participants will complete a set of standard of care questionnaires regarding their chest dysphoria (e.g., distress about the chest), gender dysphoria (e.g., distress about a gender identity that does not match assigned sex), and gender congruence (e.g., degree to which an individual feels they are living in their authentic appearance and gender identity). They will complete this same set of questionnaires either three months after their top surgery or three months after the initial set of surveys.",PROCEDURE: Mastectomy and chest masculinization — A surgical procedure in which the breasts are removed and the chest is given a masculine contour.,"Top surgery participants will be recruited from plastic surgery practices at Northwestern University, the Ann and Robert H Lurie Children's Hospital of Chicago, and the University of Illinois Chicago. Matched controls will be recruited from the Lurie Children's Hospital Gender and Sex Development Program.","Inclusion Criteria: * Assigned the female sex at birth * Affirmed gender identity of male, non-binary, or gender other than female * English-speaking * Undergoing top surgery or matches a top surgery participant on age and number of months on testosterone Exclusion Criteria: * Non English speaking * Unable to complete self-report questionnaires","Chest Dysphoria | Three month | The disruption of individual comfort, physical functioning, and interpersonal relationships from a chest with breasts, as measured by the Chest Dysphoria Measure (Score 0-51, Higher number means greater chest dysphoria)",include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04203381,Skeletal Health and Bone Marrow Composition Among Youth,INTERVENTIONAL,TERMINATED,Gender Dysphoria in Children; Puberty; Bone Development,"Children and adolescents experiencing gender dysphoria feel increased distress with the onset of puberty. Gender clinics treat these young adolescents by ""blocking"" puberty using gonadotropin-releasing hormone (GnRH) agonist medications. This has the possibility of impacting bone development as sex steroids are important to bone mass development. In this multi-site study, the investigators will examine bone marrow composition (by MRI) in 40 transgender youth and bone density and body composition before/after pubertal blockade compared to healthy participants.","DEVICE: GnRH Agonist — Forty participants who are transgender and who have been prescribed a gonadotropin-releasing hormone (GnRH) agonist by their physician will undergo magnetic resonance imaging (MRI), magnetic resonance spectroscopy (MRS), dual-energy x-ray absorptiometry (DXA) and peripheral quantitative computed tomography (pQCT) scans at baseline, at 12 months and at 24 months after initiation of the GnRH agonist therapy. This longitudinal observational study of two cohorts seeks to identify significant changes in bone marrow adiposity and bone density over 24 months. The same assessments will be obtained in 40 healthy control subjects matched for age, race/ethnicity and body mass index, all factors that are known to influence skeletal outcomes. The evaluations of bone marrow adiposity will be correlated with bone density measurements and the assessments of mood (validated anxiety and depression scales) and health-related quality of life, before and after pubertal blockade.",,"Inclusion Criteria: 1. Be willing to give informed consent/assent (parent or legal guardian able to provide informed consent) 2. Tanner Stage II/III 3. Age 9-14 years old for assigned male at birth (AMAB) and 9-13 for assigned female at birth (AFAB) 4. Current patient at the Boston Children's Hospital Transgender Clinic or Cincinnati Children's Hospital Medical Center Clinic, within six weeks of initiating pubertal blockade treatment (e.g., GnRH agonist- Lupron or Vantas) 5. Controls are matched on age within 2 years, race/ethnicity, sex assigned at birth and BMI within 25% Exclusion Criteria: The participant must not: 1. Have chronic disease known to affect skeletal metabolism (e.g. cystic fibrosis, celiac disease, sickle cell disease, inflammatory bowel disease etc.) 2. Receipt of other medications within previous 3 months known to affect skeletal metabolism (e.g., glucocorticoids, anticonvulsants, etc.) 3. Have metal implants or hardware in their body that would not allow them to get an MRI 4. Have a diagnosis of a developmental disorder or claustrophobia that would prevent them from undergoing an MRI",Change from Bone marrow adiposity by magnetic resonance imaging (MRI) from baseline compared to 24 months | Change from baseline compared to 24 months | Change from bone marrow adiposity measured by MRI (T1 maps) from baseline compared to 24 months; Change from magnetic resonance spectroscopy (MRS) from baseline compared to 24 months | Change from baseline compared to 24 months | Change from T2 corrected fat/(fat+ water) ratios from baseline compared to 24 months,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04217707,Transgender Therapeutic Support Groups,INTERVENTIONAL,WITHDRAWN,Gender Dysphoria in Adolescents and Adults,"This study seeks to explore the effects for transgender people undergoing surgical interventions of participating in pre/post-surgical therapeutic support groups in order to assess the value of adding these programs to hospital systems that are offering gender-affirming surgeries. Participation in either therapeutic support group is expected to increase subjective well-being, increase perceived social support, and decrease clinically significant mental health symptoms compared to participants' baseline scores. It is expected that perceived social support will mediate the relation between group participation and improved subject well-being and mental health scores. In addition, participation in the post-surgical therapeutic support group is expected to reduce the average number of emergency department visits for participants in the group compared with transgender patients, post-gender-affirming surgery, in the hospital as a whole.","BEHAVIORAL: Pre- and Post-Surgical Transgender Therapeutic Support Group — Participants will be patients drawn from already-existing therapeutic support groups for transgender patients who are hoping to undergo or have undergone gender-affirming surgeries. Participants will be assured that there will be no changes to their care or decisions about their surgeries if they elect not to participate in the research portion of the groups, but would still like to attend groups as a non-research participant. Prior to their first group session, participants will be arrive early to go over consent again and allow participants to sign the consent form and fill out baseline measures of the outcomes of interest. Following this, research participants will participate in the groups as usual, and after each of their first 8 attended sessions, will be asked to fill out outcomes of interest again. Length of time for them to attend 8 sessions will be capped at 6 months, and participants will be asked to fill out measures again at six months following their enrollment.",,Inclusion Criteria: * Transgender and gender non-conforming adults who take part in therapeutic support groups aimed at patients prior to and after gender-affirming surgical interventions. Exclusion Criteria: * Age \< 18 * Substance abuse as primary presenting problem and unable to maintain sobriety for group * Severe mental illness with acute psychosis or paranoia * Patients with a very high need for crisis management * Patients with diagnosis of Antisocial Personality Disorder * Patients with severe cognitive impairments.,"Well-Being | Up to 6 months | Subjective well-being will be assessed with the Short Warwick-Edinburgh Mental Well-Being Scale (SWEMWBS). This is a 7-item scale assessing different aspects of mental well-being over the previous two weeks. It is scored on a 5-point Likert scale ranging from ""None of the time"" to ""All of the time."" The SWEMWBS has excellent internal consistency (Cronbach's α = .90), has shown both strong convergent and divergent validity, and has been validated in multiple populations and languages. In addition, this scale has been demonstrated to be sensitive to change over time in clinical populations receiving therapeutic intervention.; Broad mental health symptoms | Up to 6 months | Broad mental health symptoms will be measured with the Mental Health Inventory - 5, which is a 5-item measure of general mental health symptoms over the past month. Symptoms assessed include symptoms characteristic of depression and anxiety in particular. Cronbach's α for this scale = .84, and it demonstrates good construct and convergent validity. In addition, this measure has been demonstrated to be sensitive to levels of social support.; Perceived social support | Up to 6 months | Perceived social support will be evaluated using the 8-item Perceived Support subscale from the Berlin Social Support Scales. This subscale covers both emotional and instrumental support, focusing on how much support the respondents perceive themselves to be likely to receive, which has been shown to more strongly correlate with mood, adjustment, and wellness than objectively-measured received support. Each individual scale has been assessed in addition to the full measure, and the Perceived Support subscale has been found to have good internal consistency (Cronbach's α = .83. In addition, this measure has been shown to be sensitive to change in clinical populations.",exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04237467,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,OBSERVATIONAL,COMPLETED,Transgender; Gender Identity; Vascular Stiffness; Vascular Inflammation; Blood Pressure; Lipid Disorder; Appetitive Behavior,This study will examine markers of vascular endothelial function (vascular health) and metabolic profiles in older versus younger transgender men (people who were assigned female at birth but whose gender identity is male). Data will also be compared to those from age group-matched transgender women and cisgender women and men.,OTHER: No intervention — There was no intervention.,Transgender men from the Denver metropolitan area and/or who utilize health care at University of Colorado Hospital.,Inclusion Criteria: * Aged 18-40 years old or 50-75 years old * Identify as a transgender woman * Have taken testosterone for at least one year * Currently taking testosterone parenterally (injections) or transdermally (patches or gels) Exclusion Criteria: * Don't identify as a transgender man * Not currently taking testosterone * Have been on testosterone for less than one year * History of hysterectomy/oophorectomy * Current tobacco smoker * Current illicit drug use * History of prior or active estrogen-dependent neoplasms * Acute liver or gallbladder disease * Venous thromboembolism * Hypertriglyceridemia \>500 mg/dL * Fasted plasma glucose \>7.0 mmol/L or previously treated diabetes * Resting blood pressure \>140/90 mmHg,"Evaluation of endothelial function (flow-mediated dilation (FMD) | Baseline | Brachial artery flow-mediated dilation (FMD), as measured by ultrasound.",include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04254354,"Transgender Men, Non-binary Persons and Testosterone Treatment BODY IDENTITY CLINIC",OBSERVATIONAL,RECRUITING,Transgenderism,The aim of this study is to investigate transgender men and non-binary persons before and during testosterone treatment. The study will focus on: * Cardiovascular status * Muscle strenght and power * Aggression and quality of life * Cardiac and respiratory function,,Persons assigned female at birth (+18 years) that either use or want to use testosterone with the purpose of undergoing gender transformation. -,Inclusion Criteria: Transgender men Exclusion Criteria: none,"Effect of testosterone on devellopment of plaques in the heart | 10 years | Estimated directly by CCTA, at start, (1 year for early included participants) 5 and 10 years",include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04265885,Gender Dysphoria and Transition,OBSERVATIONAL,UNKNOWN,Gender Dysphoria,"Persons with gender dysphoria present the difficulties of access to health care. Little time is devoted to education of health professionals about the care of transgender persons. According to the proposal of the French Ministry of Social Affairs and Health there is a need to increase knowledge in this area and to improve the care of transgender people including prevention and screening. Similarly, little is known about social and medical needs of the transgender population. This project proposes to illustrate gender dysphoria through testimonies of transgender people with the aim to increase the investigator's understanding aout the needs and the desires of this population and to describe the process of medical and social transition.",OTHER: collection of testimonies from transgender people — guided interview,"The participation to the study will be offered consecutively to adult subjects with gender dysphoria followed in the department of endocrinology, diabetology and nutrition of the University Hospital of Nancy.","Inclusion Criteria: * Person affiliated to a social security system * Person having received complete information on the organisation of the research and having signed the informed consent * Person having carried out a prior clinical examination adapted to the research * Age\> 18 years * Diagnosis of gender incongruence (dysphoria) according to the international classification of diseases, revision 11 Exclusion Criteria: * Severe, uncontrolled psychiatric or somatic illness * Substance and alcohol addiction * Pregnancy",Illustrate the real-life experiences of transgender people | 4 months,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04283656,Evaluating Drug Interactions Between Doravirine With Estradiol and Spironolactone in Healthy Transgender Women,INTERVENTIONAL,COMPLETED,Transgender Health; Gender Dysphoria; Transgender Women; Human Immunodeficiency Virus,"Transgender women living with Human Immunodeficiency Virus (HIV) may prioritize gender-affirming hormonal therapy over antiretroviral drug therapy. Hormonal therapy typically consists of oral estradiol and spironolactone, which induce drug-metabolizing enzymes after prolonged administration. This study evaluates the bi-directional potential drug interaction between the antiretroviral drug, doravirine, when co-administered with estradiol and spironolactone.","DRUG: Doravirine/Lamivudine/Tenofovir — 100mg/300mg/300mg orally for one dose, daily; DRUG: Spironolactone 100mg — 200mg orally for two doses, twice-daily; DRUG: Estradiol 2mg — 4mg orally for two doses, twice-daily; OTHER: Placebo — Placebo for one dose, daily",,"Inclusion Criteria: * Healthy self-identified transgender women (male-to-female) between 18-45 years old at the time of screening * Have not undergone an orchiectomy * Receiving oral estradiol and spironolactone for \>/= 3 months prior to study entry with a self-reported adherence to prescribed doses of \>/= 90% * Agree to abstain from alcohol consumption throughout the duration of the study * Be willing to briefly interrupt hormonal therapy prior to and during the study * If on pre-exposure prophylaxis (PrEP) therapy containing tenofovir alafenamide or tenofovir disoproxil fumarate, willing to discontinue PrEP at least 2 weeks before study start and for the duration of the study * Agree to use condoms for all sexual activity prior to the start and throughout the duration of the study * Evidence of a personal signed and dated informed consent document indicating that the participant has been informed of all pertinent aspects of the study Exclusion Criteria: * Presence of clinically significant acute or chronic disease, that in the investigator's opinion, would compromise the participant's safety during the study * Use of injectable or transdermal estradiol * Use of any other hormonal replacement therapy, wit h the exception of oral estradiol and spironolactone * Current use of any antiretroviral drug. This will not be exclusionary if participants reported discontinuing within 30 days of screening * Creatinine clearance \</= 60 mL/min, as estimated by the Cockcroft-Gault equation * Known anaphylactic or severe systemic reactions to any components of doravirine, lamivudine, or tenofovir disoproxil fumarate * Positive HIV, hepatitis B or Hepatitis C virus at screening. Evidence of prior hepatitis B infection and immunity is not exclusionary. Positive hepatitis C antibody with negative viral load or documented antiviral hepatitis C treatment with one post treatment non-detectable hepatitis C viral load is not exclusionary * Recent significant blood or plasma donation","Doravirine Area Under the Plasma Concentration Versus Time Curve From 0 Hours to Infinity (AUC0-∞) | Pre-dose, 0.5, 1, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Doravirine AUC derived from plasma sampling with geometric mean ratio compared between treatment arms; Doravirine Maximum Concentration (Cmax) | Pre-dose, 0.5, 1, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Doravirine maximum observed concentration during the dosing interval with geometric mean ratio compared between treatment arms; Doravirine Trough Concentration (C24) | 24 hours post-dose for all participants | Doravirine observed trough concentration during the dosing interval with geometric mean ratio compared between treatment arms; Tenofovir Disoproxil Fumarate Area Under the Plasma Concentration Versus Time Curve From 0 Hours to Infinity (AUC0-∞) | Pre-dose, 0.5, 1, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Tenofovir AUC derived from plasma sampling with geometric mean ratio compared between treatment arms; Tenofovir Disoproxil Fumarate Maximum Concentration (Cmax) | Pre-dose, 0.5, 1, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Tenofovir maximum observed concentration during the dosing interval; Tenofovir Disoproxil Fumarate Trough Concentration (C24) | 24 hours post-dose for all participants | Tenofovir observed trough concentration during the dosing interval with geometric mean ratio compared between treatment arms; Estradiol Area Under the Plasma Concentration Versus Time Curve From 0 Hours to Infinity (AUC0-∞) | Pre-dose, 0.5, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Estradiol area under the plasma concentration versus time curve from 0 hours to infinity (AUC) derived from plasma sampling; Estradiol Maximum Concentration (Cmax) | Pre-dose, 0.5, 2, 6, 12, 24, 48, 72, 96 hours post-dose for all participants | Estradiol maximum observed concentration during the dosing interval with geometric mean ratio compared between treatment arms; Estradiol Trough Concentration (C12) | 12 hours post-dose for all participants | Estradiol observed trough concentration during the dosing interval with geometric mean ratio compared between treatment arms",include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04290286,"i2TransHealth: Interdisciplinary, Internet-based Trans Health Care",INTERVENTIONAL,COMPLETED,Gender Dysphoria; Gender Identity Disorder; Transsexualism; Gender Identity; Gender Incongruence,"i2TransHealth is a randomized controlled trial that investigates the outcomes of an internet-based health care approach for transgender and gender diverse (TGD) people. As a health services research project, i2TransHealth aims at reducing the structural disadvantage for TGD people \[people with transsexualism (TS: ICD-10), gender incongruence (GIC: ICD-11) and/or gender dysphoria (GD: DSM-5)\] living in areas lacking specialized transition-related treatment. Located at the Institute for Sex Research and in cooperation with the Interdisciplinary Transgender Health Care Center Hamburg (ITHCCH), both University Medical Center Hamburg-Eppendorf (UKE), i2TransHealth is an innovative intervention including video consultation and a 1:1 chat with clinical psychologists. By cooperating with the ITHCCH, general physicians and psychiatrists provide first and local access to the specialized treatment provided by the UKE. In the intervention group, the study participants are invited to use the i2TransHealth e-health platform including a video consultation hour every two weeks and a messenger between the video-meetings. In addition, they have the opportunity to receive medical support close to their home by licensed GPs and psychiatrists according to their needs (especially in case of a somatic or mental health crisis). The waiting group participants will be able to go forward with transition-related care after four months of study participation, as part of regular care. The primary outcome measure is a reduced symptomatology for TGD people (BSCL). Secondary outcome parameters include quality of life and patient satisfaction as well as healthcare-related costs and cost-effectiveness. Finally, based on a longitudinal design, it will be assessed if the physicians improve their TGD-related expertise by cooperating within the i2TransHealth-network.",OTHER: i2TransHealth — i2TransHealth: online intervention for TGD people,,"Inclusion Criteria: * Age 18 years or older * Gender different from their assigned sex at birth * resident at least 50 km outside Hamburg * present themselves with treatment needs (TS/GD) to one of the participating physicians in the i2TransHealth network, or direct contact with institute and/or e-health platform * receive the suspected diagnosis TS/GD during an initial interview in the UKE * can operate the video chat cognitively, verbally and auditory * Able to read, speak, and understand German * Written informed consent after written and oral information Exclusion Criteria: * Under 18 years of age * Missing informed consent * Unable to speak German * Indication for inpatient treatment, e.g. due to acute psychotic symptoms (self-report, Prodromal Questionnaire, PQ-B) or severe depressive symptoms (self-report, BDI-II ≥ 29) * Acute suicidal tendencies * Decrease in intelligence (IQ below 70) * Acute drug intoxication * Failure to meet technical requirements (no Internet access, lack of IT knowledge)","Symptom burden according to BSI-18 | Change from Baseline Mental Health Symptoms to the point of time after online intervention (Baseline + 4 months) | References: Franke, G. H. (2000). Franke, G.H. (2000). BSI. Brief Symptom Inventory - Deutsche Version. Manual. Göttingen: Beltz.",exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04309760,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,INTERVENTIONAL,WITHDRAWN,Gender Dysphoria,The aim of the research is to study longitudinally the effects of reassignment hormonotherapy on the connectome of MtF (biological men who are transitioning to the female gender) dysphoric subjects after 6 months of hormone therapy. The subjects will be compared to a control group of healthy subjects taking into account sexual orientation,OTHER: MRI — Subjects will receive structural and functional (resting state) MRI,,"Inclusion Criteria: * gender dysphoric subjects MtF * right handed * androphilic orientation * without hormone therapy Control group of male subjects: * right handed * without any psychiatric or medical history * androphilic orientation Exclusion Criteria: * MRI contraindication * vulnerable adults * mental retardation * psychiatric or neurological disease including autism spectrum disorders, psychotropic medication * hormonal or genetic condition",Brain connectome 6 months after the hormone therapy beginning | 6 months after the beginning of the hormone therapy | Structural and functional MRI before and after 6 months of hormone therapy will be analysed in order to make a comparison before/after,include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04321551,Hormone Secretion in Transgender Males,INTERVENTIONAL,WITHDRAWN,Transgender; Healthy,"Aim 1 utilizes prospective clinical studies in TGN to test the hypothesis that prolonged exogenous androgens alter menstrual cyclicity by inhibiting gonadotropin secretion, steroid hormone release, and ovulation. We will utilize a clinical trial of TRT to evaluate T suppression of ovarian follicle and hormone dynamics (Aim 1A) and LH pulsatility (Aim 1B).","DRUG: Testosterone Cyp 200Mg/Ml Inj (in Oil) — Depo-Testosterone Injection, for intramuscular injection, contains testosterone cypionate which is the oil-soluble 17 (beta)- cyclopentylpropionate ester of the androgenic hormone testosterone. Testosterone cypionate is a white or creamy white crystalline powder, odorless or nearly so and stable in air. It is insoluble in water, freely soluble in alcohol, chloroform, dioxane, ether, and soluble in vegetable oils. The chemical name for testosterone cypionate is androst-4-en-3-one,17-(3-cyclopentyl-1- oxopropoxy)-, (17ß)-. Its molecular formula is C27H40O3, and the molecular weight 412.61.; DRUG: Letrozole — Letrozole is a nonsteroidal aromatase inhibitor (inhibitor of estrogen synthesis). It is chemically described as 4,4'-(1H-1,2,4-Triazol-1- ylmethylene)dibenzonitrile. Letrozole is a white to yellowish crystalline powder, practically odorless, freely soluble in dichloromethane, slightly soluble in ethanol, and practically insoluble in water. It has a molecular weight of 285.31, empirical formula C17H11N5, and a melting range of 184°C to 185°C. Letrozole is available as 2.5 mg tablets for oral administration.",,"* Self-identified transgender or non-binary person assigned female at birth * No history of prior testosterone therapy * Regular menstrual cycles * Body mass index 18 - 35 * Hemoglobin greater than than 11 gm/dl at screening evaluation * Presence of uterus and both ovaries at time of consent * Able to provide informed consent * No current endocrine disease- including, but not limited to, pituitary disease, adrenal disease, androgen secreting tumor, polycystic ovary syndrome, diabetes, or untreated thyroid disease. * Absence of cancer and any renal, hepatic, or cardiac disease * No current use of endocrine modulating medications (including, but not limited to, progestin therapy, estrogen containing medications, metformin, insulin) * No history of radiation or surgery involving brain, abdomen, or pelvis","Evidence of Luteal Activity | Baseline, 12 weeks, 24 weeks, and 32 weeks | The primary endpoint will be Evidence of Luteal Activity (ELA), as defined by a 3-fold increase in urinary pregnanediol glucuronide level over baseline.",include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT04326569,Copeptin in the Diagnosis of Post-operative Insipidus Diabetes After Pituitary Surgery,INTERVENTIONAL,COMPLETED,Pituitary Surgery,"Endoscopic trans-sphenoidal pituitary endoscopic surgery is one of the main axes of management of tumours of the sellar region. Central diabetes insipidus is a frequent complication of endoscopic trans-sphenoidal pituitary endoscopic surgery, with a prevalence of up to 30% of cases. It is the consequence of insufficient secretion of the anti-diuretic hormone arginine vasopressin (AVP) by the posterior pituitary (Melmed et al, 2017). In the absence of specific treatment, diabetes insipidus can lead to severe ionic and osmotic disorders, mainly acute dehydration with the risk of severe consequences particularly neurological. Monitoring for the appearance of diabetes insipidus is therefore necessary from the immediate post-operative period. To date, diabetes insipidus is initially suspected before the appearance of major polyuria. Several biological assays (urinary density, natraemia, urinary osmolarity and plasma) can help to confirm the diagnosis, but the sensitivity and specificity of these biomarkers remains quite low for this indication. The determination of MVA is difficult because this hormone is unstable ex vivo. To date, its use in current practice remains complicated. MVA and copeptin are derived from the same precursor and are therefore co-secreted by the pituitary gland in equimolar proportions. Copeptin has a relatively short in vivo half-life of about 25 minutes, as does MVA, but is more stable in vitro when blood has been drawn. Its use in the early diagnosis of diabetes insipidus after pituitary surgery could therefore be of interest.",OTHER: Blood sample — Blood sample to quantify copeptin,,inclusion criteria : adult patient patient undergoing pituitary surgery for tumour of the sellar region patient consenting to participate to the study patient enrolled in the national healthcare insurance program exclusion criteria : Patient with preoperative diabetes insipidus. Patient undergoing pituitary surgery for suspicion of craniopharyngioma Patient undergoing pituitary surgery for pituitary metastases Patient under 18 years,Copeptin dosage | Day 1 | Immunoluminometric assay TRACE of the copeptin in pmol/l (Thermofischer),exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04336891,Effect of Testosterone Treatment on Clitoral Arteries' Hemodynamic Parameters.,OBSERVATIONAL,COMPLETED,"Hypoactive Sexual Desire Disorder; Vulvovaginal Disease; Menopause Related Conditions; Dyspareunia (Female Excluding Psychogenic); Hypoestrogenism; Arousal Disorders, Sexual","The regulation of clitoral vascularization by sex steroids is still under-investigated. We aimed to explore the effects of 6 months transdermal Testosterone (T) therapy on clitoral color Doppler ultrasound (CDU) parameters in pre- and postmenopausal women with female sexual dysfunction (FSD). In order to do that, we retrospectively recruited n=81 women with FSD, divided into 4 groups according to different treatments followed as per clinical practice, for 6 months: transdermal systemic 2% T gel; local estradiol ovules; local non-hormonal moisturizers; transdermal T plus local estrogens. Our main hypothesis is that systemic T treatment is able to positively modulate clitoral blood flow in basal conditions, specifically to increase clitoral artery Peak systolic velocity (PSV).","DRUG: Testosterone gel — Transdermal 2% T gel applied once daily to the thighs or lower abdominal/pubic area (300 mcg T per day) for 6 months; DRUG: Estradiol ovules — Intravaginal estradiol ovules taken daily for 2 weeks and afterwards twice a week, for 6 months; DRUG: Moisturizer — Local non-hormonal moisturizers applied regularly every 2-3 days and lubricants as needed; DRUG: Testosterone gel + Estradiol ovules — Transdermal 2% T gel applied once daily to the thighs or lower abdominal/pubic area (300 mcg T per day), plus Intravaginal estradiol ovules taken daily for 2 weeks and afterwards twice a week, for 6 months","Pre- and postmenopausal women who attended our outpatient clinic at Andrology, Women's Endocrinology and Gender Incongruence Unit, University of Florence (Florence, Italy) for sexual concerns.",Inclusion Criteria: * being heterosexual. Exclusion Criteria: * history of drug or alcohol abuse * a diagnosis of uncontrolled or unstable mental or organic disease.,Changes of clitoral artery peak systolic velocity (PSV) in women treated with testosterone gel | 6 months | parameter evaluated at clitoral color Doppler ultrasound; Changes of clitoral artery pulsatility index (PI) in women treated with testosterone gel | 6 months | parameter evaluated at clitoral color Doppler ultrasound; Changes of clitoral artery acceleration (ACC) in women treated with testosterone gel | 6 months | parameter evaluated at clitoral color Doppler ultrasound,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT04361175,Cost Effectiveness Analysis for Induction of Ovulation in the Polycystic Ovary Syndrome by Letrozole Versus Clomiphene Citrate,INTERVENTIONAL,UNKNOWN,Infertility,To evaluate cost effectiveness of Letrozole versus clomiphene citrate (CC) in induction of ovulation in patients with polycystic ovary syndrome.,DRUG: Letrozole — Each group will be followed up for ovulation by day 12 ovulation monitoring by Transvaginal ultrasound for mature griffian follicle and measure endometrial thickness and volume then day 21 test serum progesterone level to confirm ovulation and if pregnancy occurred confirm by serum pregnancy test at day 35 of the cycle and follow pregnancy till confirmed by fetal pulsation by ultrasound.; DRUG: Clomiphine Citrate — Clomiphine Citrate,,"Inclusion criteria: * Women with infertility secondary to PCOS according to ESHRE/ASRM (Rotterdam criteria) 2004. Patients have at least two of the following; clinical and/or biochemical hyperandrogenism, oligo-ovulation or anovulation, polycystic ovaries by sonography (Diagnosis of oligo-/anovulation will be based on a menstrual pattern of oligo-/amenorrhoea (cycle \>35 days) and/or a low mid-luteal serum progesterone concentration. Hyperandrogenaemia will be diagnosed either clinically (acne/hirsutism) or biochemically (testosterone ≥2.5 nmol/l or free androgen index \[FAI\] ≥5). Ultrasound criteria will include ≥12 follicles (2-9 mm) and/or an ovarian volume of \>10 ml). * Age between 18 to 35 years with Body Mass Index (BMI) not more than 35 kg/m2, free of any medical disease and not receiving medications in the last 3 months. Exclusion criteria: * Patients with other causes of infertility, gross ovarian pathology diagnosed by ultrasound, previous tubal or ovarian surgery or laparoscopic ovarian drilling will be excluded from the study.",Ovulation detection by Trans-vaginal ultrasound in day 12 of menstrual cycle | Three months | ovulation monitoring by Trans-vaginal ultrasound (Medison SonoACEX6 Soul Korea 2012 ) for mature GF in each group.,exclude,Cisgender/unrelated indication,exclude,Unverified legacy keyword heuristic: Cisgender/unrelated indication,legacy_keyword_heuristic_unverified,,
