nct_id,brief_title,criterion_1_tgd,criterion_2_gaht,ai_triage,ai_triage_reason,confidence,human_decision_existing
NCT00985738,Role of Dutasteride in Patients Undergoing 3D Mapping Biopsy in Early Stage Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT01065220,Sex Steroids and the Serotonin Transporter,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT01072825,A European Network for the Investigation of Gender Incongruence,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT01171911,Comparison of Intravenous Injection of Calcium Antagonist and Beta-blockade on Endothelial Shear Stress of Coronary Artery,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT01292785,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT01354977,Effect of Resveratrol on Age-related Insulin Resistance and Inflammation in Humans,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT01523483,Vaginal Progesterone for Prevention of Preterm Birth After an Episode of Preterm Labor,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT01534351,Comparison of Finasteride and Tamsulosin for Treatment of Benign Prostatic Hyperplasia (BPH) (MK-0906A-149 AM2),no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT01653925,Molecular Mechanisms of Dutasteride and Dietary Interventions to Prevent Prostate Cancer and Reduce Its Progression,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT01662466,Effect of Testosterone Treatment on Embryo Quality,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT01720459,Effects of Micronized Trans-resveratrol Treatment on Polycystic Ovary Syndrome (PCOS) Patients,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT01755182,Systemic Therapy With or Without Upfront Transarterial Embolization for Inoperable Liver Metastasis of Neuroendocrine Tumors,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT01812161,Effect of Low-frequency Electroacupuncture (EA) on Polycystic Ovary Syndrome,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT01828320,"Triple Vulnerability? Circadian Tendency, Sleep Deprivation and Adolescence",no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT01858194,REnal Sympathetic dEnervaTion as an a Adjunct to Catheter-based VT Ablation,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT01880489,Multicomponent Intervention to Reduce Sexual Risk and Substance Use,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT01882985,"Docetaxel Plus Lycopene in Castration Resistant, Chemotherapy-Naïve Prostate Cancer Patients",no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT01897324,IVF/ICSI Protocols in Poor Responders With Growth Hormone,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT01931982,Effect of Glucagon-like Peptide 1 (GLP-1) on Microvascular Myocardial Function in Patients With Type 2 Diabetes.,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT01999686,"PCOS Treatment Using DLBS3233, Metformin, and Combination of Both",no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT02018497,Essential Hypotension and Allostasis Registry,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02060474,Thyroid Hormone Analog Therapy in MCT8 Deficiency: Triac Trial Patients,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02119377,First Australian National Trans Mental Health Study,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT02185274,Observational Study on Metabolism and Psychopathology in Transsexual Patients,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02229617,Subcutaneous Testosterone Project,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02264743,Oral Verses Patch Trial In Menopausal Women - Individualisation of Oestrogen Therapy,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT02378246,Swedish Iodine in Pregnancy and Development in Children (SWIDDICH) Study,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02380027,PRostate Evaluation for Clinically Important Disease: Sampling Using Image-guidance Or Not?,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT02381340,ACE Stapler Sub Study,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT02381821,Endometrial Volume and Sub-endometrial Vascularity as Predictors of In-vitro Fertilization Success,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02396459,Triac Trial II in MCT8 Deficiency Patients,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT02434562,Development and Validation of in Vitro Cell-based Bioassays for Nuclear Receptor Activation,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT02518009,GEnder Dysphoria Treatment in Sweden,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02524041,Association Between Serum Periostin Levels and Cortical Porosity in Patients With Secondary Hyperparathyroidism,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT02550431,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02551367,Letrozole Versus Clomiphene Citrate for Ovulation Induction in Women With Poly Cystic Ovary Syndrome ( PCOS ),no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT02715232,Effects of Sex Steroids on the Serotonin System,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02741154,Role of Aromatase Inhibitor to Enhance Ovulation in Poor Responder During Induction With Short Antagonist Protocol in Cases of ICSI,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02766764,Combined Dehydropeiandrosterone and Growth Hormone in Women With Expected Poor Ovarian Response Undergoing ICSI,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02766803,Effects of Simvastatin and Micronized Trans-resveratrol Treatment on Polycystic Ovary Syndrome (PCOS) Patients,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT02936258,PRostate Evaluation for Clinically Important Disease: MRI vs Standard Evaluation Procedures,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT02936505,Clinical Study Evaluating Two Treatment Protocols for Immunosuppressive Drugs. Looking at 3-year Incidence of CLAD.,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT02983110,Sex Hormone Therapy and Mucosal Tissues,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT02985996,Body Compartment PK for New HIV Pre-exposure Prophylaxis Modalities,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03060785,Finding the Right Tenofovir/Emtricitabine Regimen for Pre-Exposure Prophylaxis (PrEP) in Transgender Women,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03078829,The Relation of GnRH Treatment to QTc Interval in Transgender Females,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03081559,Improving Engagement in HIV Care for High-risk Women,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT03088631,Metformin in Intracytoplasmic Sperm Injection Cycles,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT03120936,The Stay Study: A Demonstration Project Advancing PrEP Delivery in the San Francisco Bay Area Transgender Community,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT03191474,Linkage of Transgender Individuals to PrEP,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT03220152,Implementation of PrEP to HIV in Brazilian Transgender Women,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03230084,Use of a Home-based PDG Urine Test to Confirm Ovulation,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT03259516,Nivolumab With Chemotherapy in Refractory MDS,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT03270969,A Pharmacokinetic Evaluation of Tenofovir/Emtricitabine as HIV Pre-Exposure Prophylaxis in Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03293771,Transgender Post-reassignment Urogynecologic Measures and Perceptions,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03395574,Effect of Terlipressin on Cerebral Oxygen Saturation During Liver Transplantation,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT03436992,Estrogen and Diabetes,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT03445910,Intrauterine Injection of Human Chorionic Gonadotrophin and Pregnancy Rate in ICSI,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT03457233,The Impact of Body Weight on Reproductive Outcomes in Poor Ovarian Responders in ICSI Cycles,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT03465852,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT03476356,L-Carnitine and Clomiphene Citrate for Induction of Ovulation in Women With Polycystic Ovary Syndrome,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT03484611,Prediction of Metaphase II Oocytes According to Different Levels of Serum AMH in Poor Responders Using the Antagonist Protocol,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT03516747,Preoperational Fine Needle Aspiration of Pathological Parathyroid Gland,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT03528135,Project PRIDE (Promoting Resilience In Discriminatory Environments),no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT03557268,Pubertal Blockade and Hormone Therapy in Transgender Youth,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03572387,A Pilot Study of 5-AZA and ATRA for Prostate Cancer With PSA-only Recurrence After Local Treatment,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT03593317,Blockade of the Renin-angiotensin-aldosterone System in Patients With ARVD,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT03595956,Transgender Cohort Study of Gender Affirmation and HIV-related Health,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT03602222,An LGBT-Competency Program for Mental Health Professionals in Romania,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT03620734,Study to Determine Interaction Between the Use of Feminizing Hormone Therapy and Antiretroviral Agents Concomitantly Among Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03637920,Sexuality in Transmen During Hormone and Operative Treatment,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03643120,Gender Dysphoria Among Adolescents (Norwegian Title: Kjønnsdysfori Blant Ungdom),yes,no,human_review,"Explicit TGD population, but evaluates puberty suppression with GnRH agonists alone without explicit GAHT component; human review required.",medium,
NCT03651427,Cross-sex Hormone Therapy and Neuronal Plasticity,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03652623,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - PK Study",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03683043,Comparative Study Between ICSI Results in Transvaginal Ultrasound Guided Embryo Transfer and Transabdominal Ultrasound Guided Embryo Transfer,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT03725280,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,yes,yes,likely_include,Explicit transgender male population; compares ovarian tissue before vs after testosterone GAHT exposure in IVF setting.,high,
NCT03757117,Gender-Affirmative Transgender Care to Improve the HIV Treatment Cascade,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03784404,Trans-vaginal Aspiration of Small Ovarian Endometrioma. Comparison of Two Different Techniques Before ICSI,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT03789331,Anogenital Distance Differences Between Transgender Males and Female Individuals,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03826563,Melatonin Effects on Sleep and Circadian Rhythm in Youth and Young Adults With At-risk Symptoms,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT03836027,Fertility Desires and Reproductive Needs of Transgender People,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03848234,"Estradiol Patch as add-on to Antipsychotics in Patients With Schizophrenia, Schizoaffective or Schizophreniform Disorder",no,no,obvious_exclude,No explicit TGD population; oncology study in breast cancer.,high,
NCT03864198,"To Evaluate the Effect of Reveratrol,Folic Acid, Vitamin D, Vitamin B12 and B6 in Male Infertility",no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT03864913,Comparing Subcutaneous Testosterone to Intramuscular Testosterone in Gender Affirming Care of Transgender Male Adolescents,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT03872648,TransCare - Genital Surgery for Trans Women in Centralized vs. Decentralized Health Care Delivery Settings,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT03876145,The Four Methods of Ovarian Stimulation in Patients With Polycystic Ovarian Syndrome,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT03878524,Serial Measurements of Molecular and Architectural Responses to Therapy (SMMART) PRIME Trial,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT03899896,Voice Feminisation in Transgender Women,yes,unclear,human_review,"Explicit TGD population, but primary intervention is vocal/speech therapy; human review required to verify if GAHT is an analyzed variable.",medium,
NCT03964779,Prevalence of Thyroid Dysfunction and Anti-thyroid Antibodies in Infertile Women,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT03989778,Vitamin D and Polycystic Ovarian Syndrome (PCOS),no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT04028219,Transgender In Transition,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04036500,Transgender Estradiol,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04050371,Study of Truvada for HIV Pre Exposure Prophylaxis Using Daily Directly Observed Therapy to Look at Potential Interactions Between Truvada and Hormone Therapy,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04064671,ZEPHYR: A Study Evaluating Surgical Outcome After Implantation of the Zephyr ZSI 475 FTM Inflatable Penile Implant in the Neophallus After Female-to-male Sex Reassignment Surgery,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04066283,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04071574,Comparative Study on the Efficacy of Ovarian Stimulation Protocols on the Success Rate of ICSI in Female Infertility,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT04077138,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - Intervention Development",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04077151,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - Demonstration Project",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04093518,Estradiol as add-on to Antipsychotics,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT04096053,Transgender Education for Affirmative and Competent HIV and Healthcare,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT04107480,PRolaCT - Three Prolactinoma RCTs,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04128488,Effects of Gender-Affirming Hormone Therapy Among Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04149028,Platelet Rich Plasma Injection Into Ovary of Patients With Premature Ovarian Insufficiency,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04160364,Gender Dysphoria in Children and Adolescents : Parents' Perspectives,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04195659,Chest Dysphoria in Transmasculine Spectrum Adolescents,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04203381,Skeletal Health and Bone Marrow Composition Among Youth,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04217707,Transgender Therapeutic Support Groups,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04237467,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04254354,"Transgender Men, Non-binary Persons and Testosterone Treatment BODY IDENTITY CLINIC",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04265885,Gender Dysphoria and Transition,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04283656,Evaluating Drug Interactions Between Doravirine With Estradiol and Spironolactone in Healthy Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04290286,"i2TransHealth: Interdisciplinary, Internet-based Trans Health Care",yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04309760,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04321551,Hormone Secretion in Transgender Males,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04326569,Copeptin in the Diagnosis of Post-operative Insipidus Diabetes After Pituitary Surgery,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT04336891,Effect of Testosterone Treatment on Clitoral Arteries' Hemodynamic Parameters.,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04361175,Cost Effectiveness Analysis for Induction of Ovulation in the Polycystic Ovary Syndrome by Letrozole Versus Clomiphene Citrate,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT04371783,A Randomized Trial Comparing the Live Birth Rate of Immediate Versus Delayed FET Following a Freeze-all Strategy,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04374708,Gender Identity and Own Body Perception,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04378439,Appalachian Partnership to Reduce Disparities (Aim 2),yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT04414748,Comparison of the Euploid Rate of Blastocyst Between PPOS and GnRH Antagonist Protocol in Patients Undergoing PGT-A,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04414761,Live Birth Rate Between PPOS and GnRH Antagonist Protocol in Patients With Anticipated High Ovarian Response,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04440722,Prospective Observational Study and Biobank CKIO,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04448418,The Impact of COVID-19 Outbreak on Trans-population's Health in Italy,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04460963,Role of Adrenomedullin in Leukemic Endosteal/Vascular Niches,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT04474366,The Effect of Pectoral Blocks on Perioperative Pain in Gender Affirmation Top Surgery,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
